podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200testrzcfg-84b684d749-xkcrv,cnnorth1a-pod16-common001-cna052,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-9vsxw,cnnorth1a-pod16-common001-cna005,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:05,2019-01-18 18:29:08,3000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-nwvc4,cnnorth1a-pod16-common001-cna002,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-lg82t,cnnorth1a-pod16-common001-cna039,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-mjw94,cnnorth1a-pod16-common001-cna060,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-xh27b,cnnorth1a-pod16-common001-cna002,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:51,2019-01-18 18:29:51,0
imagepullns/multi100m200testff4tv-c8cddd78f-tcxcv,cnnorth1a-pod16-common001-cna005,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,2019-01-18 18:29:23,2019-01-18 18:29:23,0
imagepullns/multi100m200testrzcfg-84b684d749-4zdsb,cnnorth1a-pod16-common001-cna014,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,2019-01-18 18:29:13,2019-01-18 18:29:13,0
imagepullns/multi100m200testrzcfg-84b684d749-47t7k,cnnorth1a-pod16-common001-cna053,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-b582n,cnnorth1a-pod16-common001-cna014,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
